species_common_name,tbp,sample_size
Badger,7.037037037,81
Beaver,11.75,28
Bighorn sheep,5.998939555,943
Bird,11.05538462,325
Bison,4.953474676,1698
Black Bear,6.249882295,48851
Bobcat,3,7
Canada Lynx,4.846708537,4299
Columbian Ground Squirrel,16.40350877,114
Cougar,5.043824701,251
Coyote,7.657167116,27089
"Cranes, Rails, Coots",7.260224719,2225
Crow,7.911881188,1010
"Crows, Jays, and Allies",9,8
Deer,5.168250419,3578
"Ducks, Swans, Geese",6.873793147,15847
Elk (wapiti),3.851783937,70350
Ermine,4.5,4
Falcons and allies,11.40809444,593
Fisher,9.809151786,896
Foxes,5.8,10
Golden-Mantled Ground Squirrel,10.65517241,29
Gray Jay,6.49122807,57
Gray Squirrel,2,4
Gray Wolf,5.772972973,4995
Grizzly Bear,6.212271973,603
Groundhog,12.21428571,28
"Grouse, Ptarmigan and allies",6.405990017,601
"Gulls, Terns and allies",7.348623853,109
Hoary Marmot,9.716981132,53
Least Chipmunk,6.377358491,53
Long-tailed Weasel,117,1
Magpie,6.420094649,2747
Marten,8.447142857,700
Mink,10.11111111,9
Moose,4.534476491,112787
Mountain Goat,4.733333333,45
Mule Deer,4.759012551,137364
Muskrat,4.142857143,14
Northern Flying Squirrel,9.8,10
Northern harrier,18,5
Owls,7.407407407,108
"Pelicans, Herons, Egrets",3.870652174,4600
Porcupine,4.663799844,1279
Pronghorn,5.432469233,19095
Ptarmigans,6.111111111,27
Raccoon,5.597014925,67
Red-tailed hawk,4.25,4
Red Fox,7.249491525,1475
Red Squirrel,12.18290598,585
Richardson's Ground Squirrel,12.55974843,159
River Otter,2.3,10
"Sandpipers, Curlews, Snipe and Allies",13.3575419,358
Snowshoe Hare,10.97021241,12052
Songbird,7.878417438,37711
Spruce Grouse,11.8,55
"Squirrels, marmots, chipmunks",1,1
Striped Skunk,5.970238095,168
Swift fox,11.5,8
Turkey Vulture,7.46440678,590
"Voles, Mice and Allies",10.0625,32
Weasels and Ermine,14.77272727,22
White-tailed Deer,4.957173356,279639
White-tailed Jack Rabbit,10.36233184,1115
Wild Boar,10.76923077,13
Wolverine,9.376811594,345
"Wolves, Coyotes and Allies",8.533333333,15
Woodland Caribou,4.19157914,21803
Woodpeckers,6.84,25
Horse,4.534476491,NA
Feral Horse,4.534476491,NA
Domestic Horse,4.534476491,NA
